,ALL,B,C1,C2,D,E
S2_1P,0.9816,0.9725,0.975,0.99,0.9864999999999999,0.984
S2_3P,0.9539,0.9550000000000001,0.9764999999999999,0.9359999999999999,0.9510000000000002,0.951
