model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Bonsai_2_27B_ternary,final_token,S1_1P,56,0.9105000000000001,0.8314999999999999,0.03665378561622252
Bonsai_2_27B_ternary,final_token,S1_1P,57,0.9099999999999999,0.8184999999999999,0.03798025802966592
Bonsai_2_27B_ternary,final_token,S1_1P,58,0.9124999999999999,0.8145,0.031304951684997064
Bonsai_2_27B_ternary,final_token,S1_1P,59,0.914,0.805,0.034007352146263915
Bonsai_2_27B_ternary,final_token,S1_1P,60,0.9075,0.796,0.025932604959779865
Bonsai_2_27B_ternary,final_token,S1_1P,61,0.9104999999999999,0.798,0.022045407685048604
Bonsai_2_27B_ternary,final_token,S1_1P,62,0.9155000000000001,0.7985,0.02754087870784081
Bonsai_2_27B_ternary,final_token,S1_1P,63,0.905,0.796,0.0459619407771256
Bonsai_2_27B_ternary,final_token,S1_3P,0,0.8004999999999999,0.7805000000000001,0.032764309850811794
Bonsai_2_27B_ternary,final_token,S1_3P,1,0.7935000000000001,0.7865,0.05528562200066123
Bonsai_2_27B_ternary,final_token,S1_3P,2,0.8019999999999999,0.7815,0.0453155602414888
Bonsai_2_27B_ternary,final_token,S1_3P,3,0.808,0.7924999999999999,0.03935098473990202
Bonsai_2_27B_ternary,final_token,S1_3P,4,0.7975,0.805,0.0450277692096777
Bonsai_2_27B_ternary,final_token,S1_3P,5,0.799,0.796,0.02977414986191882
Bonsai_2_27B_ternary,final_token,S1_3P,6,0.821,0.7929999999999999,0.033860005906674054
Bonsai_2_27B_ternary,final_token,S1_3P,7,0.817,0.7939999999999999,0.03461935874622754
Bonsai_2_27B_ternary,final_token,S1_3P,8,0.8240000000000001,0.7969999999999999,0.023430749027719952
Bonsai_2_27B_ternary,final_token,S1_3P,9,0.833,0.7969999999999999,0.026570660511172867
Bonsai_2_27B_ternary,final_token,S1_3P,10,0.8390000000000001,0.804,0.041761226035642245
Bonsai_2_27B_ternary,final_token,S1_3P,11,0.8415000000000001,0.807,0.04394883388669144
Bonsai_2_27B_ternary,final_token,S1_3P,12,0.8515,0.8170000000000002,0.04781736086402092
Bonsai_2_27B_ternary,final_token,S1_3P,13,0.8455,0.826,0.03136080356113344
Bonsai_2_27B_ternary,final_token,S1_3P,14,0.8605,0.836,0.026990739152531553
Bonsai_2_27B_ternary,final_token,S1_3P,15,0.8619999999999999,0.8310000000000001,0.030959651160825455
