model,extraction,layer,vector,dataset,ALL,B,C1,C2,D,E
Bonsai_2_27B_ternary,final_token,59,S1,S1_1P,0.9409,0.934,0.952,0.9285,0.9495,0.9405
Bonsai_2_27B_ternary,final_token,59,S1,S1_3P,0.7896,0.7729999999999999,0.8235,0.706,0.7954999999999999,0.85
Bonsai_2_27B_ternary,final_token,59,S2_check,S2_1P,0.9816,0.9725,0.975,0.99,0.9864999999999999,0.984
Bonsai_2_27B_ternary,mean,35,S1,S1_1P,0.9962,1.0,0.982,1.0,0.9994999999999999,0.9994999999999999
Bonsai_2_27B_ternary,mean,35,S1,S1_3P,0.9754,0.974,0.9665,0.974,0.9785000000000001,0.984
Bonsai_2_27B_ternary,mean,35,S2_check,S2_1P,0.9924000000000001,0.9815,0.9869999999999999,0.9964999999999999,0.999,0.998
