model,extraction,s2_layer,s1_heldout_auc_at_s2_layer,s1_best_layer,s1_heldout_auc_at_best_layer,s1_1P_heldout_at_best,s1_3P_heldout_at_best
Bonsai_2_27B_ternary,final_token,59,0.90025,62,0.903,0.9155000000000001,0.8905
Bonsai_2_27B_ternary,mean,35,0.9277500000000001,38,0.939,0.931,0.9469999999999998
