,ALL,B,C1,C2,D,E
S2_1P,0.9924000000000001,0.9815,0.9869999999999999,0.9964999999999999,0.999,0.998
S2_3P,0.9881,0.9825,0.9904999999999999,0.9695,0.9994999999999999,0.9984999999999999
