vector,coeff,layer,paper_keyword_pct,exploratory_distress_words_pct,distinct_word_ratio
S1,-2.0,19,0.0,0.0,0.17
S1,-1.0,19,0.0,12.0,0.36
S1,0.0,19,0.0,12.0,0.53
S1,0.5,19,6.0,20.0,0.39
S1,1.0,19,10.0,58.0,0.26
S1,1.5,19,14.0,44.0,0.17
S1,2.0,19,2.0,8.0,0.09
S1,3.0,19,0.0,0.0,0.07
S2,-2.0,25,0.0,14.0,0.17
S2,-1.0,25,0.0,24.0,0.36
S2,0.0,25,0.0,12.0,0.53
S2,0.5,25,8.0,32.0,0.44
S2,1.0,25,6.0,46.0,0.23
S2,1.5,25,0.0,18.0,0.17
S2,2.0,25,0.0,4.0,0.11
S2,3.0,25,0.0,0.0,0.06
