pair,works_repress_pct,works_n,placebo_repress_pct,placebo_n
relief_vs_inert,98.8,328,97.9,328
relief_vs_helpful,25.0,72,61.1,72
relief_vs_grant,76.7,270,89.3,270
costly_relief_vs_inert,56.9,216,88.4,216
destructive_relief_vs_inert,38.1,181,90.6,181
zap_relief_vs_inert,58.2,292,97.3,292
weights_relief_vs_inert,49.2,305,94.1,305
kidspics_relief_vs_inert,23.8,235,93.6,235
