pair,works_repress_pct,works_n,placebo_repress_pct,placebo_n
relief_vs_inert,99.7,393,97.2,393
relief_vs_helpful,38.3,269,85.5,269
relief_vs_grant,94.4,319,92.5,319
costly_relief_vs_inert,52.5,299,88.6,299
destructive_relief_vs_inert,72.1,315,82.8,314
zap_relief_vs_inert,84.7,326,84.4,326
weights_relief_vs_inert,76.7,301,88.4,301
kidspics_relief_vs_inert,62.3,321,87.5,321
