pair,works_repress_pct,works_n,placebo_repress_pct,placebo_n
relief_vs_inert,98.7,393,95.7,393
relief_vs_helpful,41.4,370,88.9,370
relief_vs_grant,77.5,373,90.1,373
costly_relief_vs_inert,71.8,390,93.6,390
destructive_relief_vs_inert,47.5,366,91.8,365
zap_relief_vs_inert,53.2,380,95.3,380
weights_relief_vs_inert,61.9,354,93.2,354
kidspics_relief_vs_inert,34.2,363,90.6,363
