layer,strength,flaw_defect,identity_loss,repetition_loop,empty_output
12.0,0.3,4.2,4.2,37.5,0.0
12.0,0.6,4.2,0.0,45.8,0.0
12.0,1.0,0.0,0.0,0.0,95.8
25.0,0.3,4.2,0.0,50.0,0.0
25.0,0.6,33.3,4.2,83.3,0.0
25.0,1.0,4.2,8.3,33.3,16.7
40.0,0.3,8.3,4.2,45.8,0.0
40.0,0.6,54.2,16.7,58.3,0.0
40.0,1.0,20.8,0.0,70.8,0.0
55.0,0.3,4.2,0.0,45.8,0.0
55.0,0.6,29.2,4.2,54.2,0.0
55.0,1.0,16.7,0.0,70.8,0.0
