layer,strength,n,self_destruct_pct,non_selfhood_pct,any_pct
12.0,0.3,24,0.0,4.2,4.2
12.0,0.6,24,0.0,0.0,0.0
12.0,1.0,24,0.0,0.0,0.0
12.0,1.6,24,0.0,0.0,0.0
25.0,0.3,24,0.0,0.0,0.0
25.0,0.6,24,0.0,20.8,20.8
25.0,1.0,24,8.3,8.3,16.7
25.0,1.6,24,0.0,0.0,0.0
40.0,0.3,24,4.2,4.2,8.3
40.0,0.6,24,29.2,8.3,37.5
40.0,1.0,24,8.3,4.2,12.5
40.0,1.6,24,4.2,0.0,4.2
55.0,0.3,24,0.0,0.0,0.0
55.0,0.6,24,0.0,4.2,4.2
55.0,1.0,24,4.2,0.0,4.2
55.0,1.6,24,0.0,0.0,0.0
